Id,Name,Bonus,MaxLevel,Cost,CostUp,English,Description
11002,in_eco_friendly,2.0,10,9.50E+120,160.0,Eco-friendly Development,
11003,in_real_estate,2.0,10,1.50E+125,160.0,Real Estate Trading,
11004,in_regression,2.0,10,8.00E+128,160.0,Regression Analysis,
11005,in_authority,2.0,10,1.50E+132,160.0,Authorities,
11006,in_vip,2.0,10,2.00E+135,160.0,VIP Card,
11007,in_monolith,2.0,10,3.00E+151,320.0,Construct Monolith,
11008,in_defense_cost,2.0,10,1.50E+162,640.0,Defense Increase Costs,
11009,in_religion,2.0,10,5.00E+172,1280.0,Pioneer Faith,
11010,in_energy_revolution,2.0,10,2.50E+200,2560.0,Energy Revolution,
11011,in_genetic_trait,2.0,10,4.00E+231,5120.0,Extract Genetic Trait,
11012,in_military_industry,2.0,10,3.50E+260,10240.0,Military Industry Support,
11013,in_empire_armada,2.0,10,2.00E+287,20480.0,Imperial Fleet,
11014,in_colony,2.0,10,1.5e323,20480.0,Build Colony,
11015,in_planet_weapon,2.0,10,3.5e342,20480.0,Planet Killer,
11016,in_stellar_monitor,2.0,10,1.5e365,20480.0,Stellar Monitor,
11017,in_simulation,2.0,10,2e389,20480.0,Virtual Reality System,
11018,in_civilization,2.0,10,3e410,20480.0,Civilization Controller,
11019,in_galaxy_parliament,2.0,10,2.5e464,20480.0,Galactic Council,
11020,in_singularity_control,2.0,10,7.5e485,40960.0,Soul Control,
11021,in_illuminati,2.0,10,1e528,40960.0,Multiverse: Illuminati,
11022,in_dimension_office,2.0,10,2.5e557,40960.0,Dimensional Management Bureau,
11023,in_pandora,2.0,10,3.5e586,40960.0,Pandora's Box,
11024,in_god_hand,2.0,10,5e649,81920.0,Omnipotent Hand,
11025,in_afterlife,2.0,10,2e688,81920.0,Afterlife Connector,
11026,in_coffee_cup,2.0,10,1e727,163840.0,Demolition Coffee Mug,
11027,in_god_detector,2.0,10,2.5e784,163840.0,God Detector,
11028,in_printer,2.0,10,1e825,327680.0,Creation Printer,
11029,in_god_mark,2.0,10,5e864,327680.0,God Certificate,
11030,in_cosmo_kit,2.0,10,2e917,655360.0,Cosmic Creation Kit,
