Id,GroupId,UnlockRank,Type,Subtype,IsSequential,Sort
10907,wk_event,0,UseItem,,True,253
10911,wk_event,0,UseMagicClock,,True,254
10908,wk_event,0,Challenge,,True,255
10910,wk_event,0,GetArtifact,,True,256
10912,wk_event,0,GetBoosterPoint,,True,257
10909,wk_event,0,ActiveBooster,,True,258
10830,ev_main_2025_09,0,EventLogin,ev_main_2025_09,True,336
10831,ev_main_2025_09,0,GetEventPoint,ev_main_2025_09,False,337
10832,ev_main_2025_09_pass,0,GetEventPoint,ev_main_2025_09,False,338
10833,ev_main_2025_09,0,GetEventPoint,ev_main_2025_09,True,339
10834,ev_main_2025_09_mission,0,FireBullet,,True,340
10835,ev_main_2025_09_mission,0,GetMiningReward,,True,341
10836,ev_main_2025_09_mission,0,GetCard,,True,342
10837,ev_main_2025_09_mission,0,UseItem,,True,343
10838,ev_main_2025_09_mission_epic,0,BreakBlock,,True,344
10839,ev_main_2025_09_mission_epic,0,ActiveBooster,,True,345
10840,ev_main_year_1_5,0,EventLogin,ev_main_year_1_5,True,347
10841,ev_main_year_1_5,0,GetEventPoint,ev_main_year_1_5,False,348
10843,ev_main_year_1_5,0,GetEventPoint,ev_main_year_1_5,True,349
10850,ev_main_2025_11,0,EventLogin,ev_main_2025_11,True,351
10851,ev_main_2025_11,0,GetEventPoint,ev_main_2025_11,False,352
10852,ev_main_2025_11_pass,0,GetEventPoint,ev_main_2025_11,False,353
10853,ev_main_2025_11,0,GetEventPoint,ev_main_2025_11,True,354
10854,ev_main_2025_11_mission,0,FireBullet,,True,355
10855,ev_main_2025_11_mission,0,GetMiningReward,,True,356
10856,ev_main_2025_11_mission,0,GetCard,,True,357
10857,ev_main_2025_11_mission,0,UseItem,,True,358
10858,ev_main_2025_11_mission_epic,0,BreakBlock,,True,359
10859,ev_main_2025_11_mission_epic,0,ActiveBooster,,True,360
10860,ev_main_2025_12_sp,0,EventLogin,ev_main_2025_12_sp,True,362
10861,ev_main_2025_12_sp,0,GetEventPoint,ev_main_2025_12_sp,False,363
10862,ev_main_2025_12_sp,0,GetEventPoint,ev_main_2025_12_sp,True,364
10863,ev_main_2026_01,0,EventLogin,ev_main_2026_01,True,366
10864,ev_main_2026_01,0,GetEventPoint,ev_main_2026_01,False,367
10865,ev_main_2026_01_pass,0,GetEventPoint,ev_main_2026_01,False,368
10866,ev_main_2026_01,0,GetEventPoint,ev_main_2026_01,True,369
10867,ev_main_2026_01_mission,0,FireBullet,,True,370
10868,ev_main_2026_01_mission,0,GetMiningReward,,True,371
10869,ev_main_2026_01_mission,0,GetCard,,True,372
10870,ev_main_2026_01_mission,0,UseItem,,True,373
10871,ev_main_2026_01_mission_epic,0,BreakBlock,,True,374
10872,ev_main_2026_01_mission_epic,0,ActiveBooster,,True,375
10873,ev_main_2026_02_sp,0,EventLogin,ev_main_2026_02_sp,True,377
10874,ev_main_2026_02_sp,0,GetEventPoint,ev_main_2026_02_sp,False,378
10875,ev_main_2026_02_sp,0,GetEventPoint,ev_main_2026_02_sp,True,379
10876,ev_main_2026_03,0,EventLogin,ev_main_2026_03,True,381
10877,ev_main_2026_03,0,GetEventPoint,ev_main_2026_03,False,382
10878,ev_main_2026_03_pass,0,GetEventPoint,ev_main_2026_03,False,383
10879,ev_main_2026_03,0,GetEventPoint,ev_main_2026_03,True,384
10880,ev_main_2026_03_mission,0,FireBullet,,True,385
10881,ev_main_2026_03_mission,0,GetMiningReward,,True,386
10882,ev_main_2026_03_mission,0,GetCard,,True,387
10883,ev_main_2026_03_mission,0,UseItem,,True,388
10884,ev_main_2026_03_mission_epic,0,BreakBlock,,True,389
10885,ev_main_2026_03_mission_epic,0,ActiveBooster,,True,390
10886,ev_main_2026_03_sp,0,EventLogin,ev_main_2026_03_sp,True,392
10887,ev_main_2026_03_sp,0,GetEventPoint,ev_main_2026_03_sp,False,393
10888,ev_main_2026_03_sp,0,GetEventPoint,ev_main_2026_03_sp,True,394
100001,ev_main_year_2,0,EventLogin,ev_main_year_2,True,396
100002,ev_main_year_2,0,GetEventPoint,ev_main_year_2,False,397
100003,ev_main_year_2,0,GetEventPoint,ev_main_year_2,True,398
100004,ev_main_2026_05,0,EventLogin,ev_main_2026_05,True,400
100005,ev_main_2026_05,0,GetEventPoint,ev_main_2026_05,False,401
100006,ev_main_2026_05_pass,0,GetEventPoint,ev_main_2026_05,False,402
100007,ev_main_2026_05,0,GetEventPoint,ev_main_2026_05,True,403
100008,ev_main_2026_05_mission,0,FireBullet,,True,404
100009,ev_main_2026_05_mission,0,GetMiningReward,,True,405
100010,ev_main_2026_05_mission,0,GetCard,,True,406
100011,ev_main_2026_05_mission,0,UseItem,,True,407
100012,ev_main_2026_05_mission_epic,0,BreakBlock,,True,408
100013,ev_main_2026_05_mission_epic,0,ActiveBooster,,True,409
100014,ev_main_2026_06_sp,0,EventLogin,ev_main_2026_06_sp,True,411
100015,ev_main_2026_06_sp,0,GetEventPoint,ev_main_2026_06_sp,False,412
100016,ev_main_2026_06_sp,0,GetEventPoint,ev_main_2026_06_sp,True,413
100017,ev_main_2026_07,0,EventLogin,ev_main_2026_07,True,415
100018,ev_main_2026_07,0,GetEventPoint,ev_main_2026_07,False,416
100019,ev_main_2026_07_pass,0,GetEventPoint,ev_main_2026_07,False,417
100020,ev_main_2026_07,0,GetEventPoint,ev_main_2026_07,True,418
100021,ev_main_2026_07_mission,0,FireBullet,,True,419
100022,ev_main_2026_07_mission,0,GetMiningReward,,True,420
100023,ev_main_2026_07_mission,0,GetCard,,True,421
100024,ev_main_2026_07_mission,0,UseItem,,True,422
100025,ev_main_2026_07_mission_epic,0,BreakBlock,,True,423
100026,ev_main_2026_07_mission_epic,0,ActiveBooster,,True,424
