Id,Name,IncludeAllUpper,Cost,CostUp,CostUpPow,English,Description
2065,br_dimentium,False,1.50E+226,2.5,1.01,Dimentium,
2066,br_destiny,False,5.74E+246,2.5,1.01,Destiny Stone,
2067,br_life,False,5.89E+266,2.5,1.01,Life Stone,
2068,br_thunder_storm,False,1.88E+287,2.5,1.01,Thunder Stone,
2069,br_abaddon,False,1.2E+310,2.625,1.01,Abyss Stone,
2070,br_divine,False,4E+330,2.625,1.01,Sacred Stone,
2071,br_ruin_stone,False,2.5E+358,2.75,1.01,Ruin Stone,
2072,br_phantom_steel,False,7.5E+386,2.875,1.01,Phantom Steel,
2073,br_ancient,False,8E+410,2.875,1.01,Ancient Stone,
2074,br_prismite,False,5.5E+434,3.0,1.01,Prismite,
2075,br_apollorium,False,1E+466,3.125,1.01,Apollorium,
2076,br_determinite,False,1E+498,3.125,1.01,Determinite,
2077,br_mjolnir,False,7E+540,3.25,1.01,Mjolnir,
2078,br_bravery,False,4.5E+580,3.375,1.01,Bravery Stone,
2079,br_overworld,False,3E+616,3.5,1.01,Nether Stone,
2080,br_fury,False,5E+658,3.625,1.01,Rage Stone,
2081,br_god,False,6E+710,3.75,1.01,God Stone,
2082,br_authority,False,1.5E+746,3.875,1.01,Power Stone,
2083,br_tribunite,False,4E+782,4.0,1.01,Tribunite,
2084,br_judgment,False,2.5e842,4.0,1.01,Judgment Stone,
2085,br_grace,False,5e878,4.0,1.01,Grace Stone,
2086,br_creation,False,2.5e914,4.0,1.01,Creation Stone,
2087,br_fall,False,7.5e966,4.0,1.01,Demolition Stone,
2088,br_blaze,False,3.5e1003,4.0,1.01,Blazing Stone,
2089,br_heaven,False,1e1041,4.0,1.01,Celestial Stone,
2090,br_deep_sea,False,3e1097,4.0,1.01,Abyssal Stone,
2091,br_gale,False,8e1147,4.0,1.01,Tempest Stone,
2092,br_prime,False,6e1177,4.0,1.01,Prime Stone,
2093,br_ego,False,2.5e1255,4.0,1.01,Ego,
2094,br_end,False,9e1308,4.0,1.01,Apocalypse Stone,
2095,br_multiverstone,False,1e1363,4.0,1.01,Multiversestone,
2096,br_hyperium,False,4e1473,4.0,1.01,Hyperium,
2097,br_omni,False,2.5e1548,4.0,1.01,Omnipotent Stone,
2098,br_celesterium,False,6e1624,4.0,1.01,Celesterium,
2099,br_manifoldium,False,3e1790,4.0,1.01,Manifoldium,
2100,br_worldstone,False,1.5e1990,4.0,1.01,World Stone,
9030,dv_kirin,False,1.73E+47,2.5,1.01,Kirin,"""An auspicious being that controls life, wielding magic. If he does that, the future does not look good."""
9033,dv_chaa,False,8.13E+54,2.5,1.01,Ch'aak,"""Also known as the emissary for the gods. It is all purely stories found in myths and legends, so don't even bother thinking about looking for it."""
9036,dv_aio,False,9.39E+65,2.5,1.01,Aio,"""It is said to bring riches and good fortune. You think I'm being sentimental? Well, riches and good fortune can also be achieved through power."""
9039,dv_pegasus,False,9.77E+77,2.5,1.01,Pegasus,"""To be brilliant can also mean to be destructive."""
9042,dv_tumtum,False,1.00E+90,2.5,1.01,Tumtum,"""Let us not underestimate what lies beneath our feet. If the ceiling can crush you, the floor can send you to an abyss."""
9045,dv_pheonix,False,2.05E+103,2.5,1.01,Pheonix,"""True immortality is being reborn."""
9048,dv_archeros,False,9.53E+118,2.5,1.01,Archeros,"""It controls dreams. What would happen if you lost your dreams?"""
9051,dv_oriona,False,1.04E+133,2.5,1.01,Oriona,"""It's not predicting the future, it's just taking a peek."""
9054,dv_ouroboros,False,2.26E+148,2.5,1.01,Ouroboros,"""Endless reincarnation signifies growth, not repetition."""
9057,dv_kraken,False,4.40E+166,2.5,1.01,Kraken,"""It's not the monster that eats them, it's fear."""
9060,dv_kerberos,False,3.61E+190,2.5,1.01,Kerberos,"""Hell is a place only the strong can enter."""
9063,dv_world_tree,False,4.38E+216,2.5,1.01,World Tree,"""Life requires sacrifice."""
9066,dv_chimera,False,4.59E+246,2.5,1.01,Chimera,"""That should not exist. Not even in stories."""
9069,dv_quetzalcoatl,False,6e309,2.625,1.01,Quetzalcoatl,"""When an ill omen appears, one must prepare sacrifices."""
9072,dv_hephaestus,False,3.5e385,2.875,1.01,Hephaestus,"""Divinity is sometimes forged from fear."""
9075,dv_dark_dragon,False,5e465,3.125,1.01,Dark Dragon,"""They say only black ash remains in its wake."""
9078,dv_jormungand,False,2e554,3.375,1.01,Jormungand,"""It's large enough to encompass the world. Perhaps the world has already been devoured."""
9081,dv_yggdrasil,False,6e664,3.75,1.01,Ygggrasil,"""A being that governs all of space and time. Both past and future, and even fate itself."""
9084,dv_seraph,False,2.5e789,3.375,1.01,Seraph,"""All we can do is hope they take pity on us."""
9087,dv_echidna,False,7.5e929,4.0,1.01,Echidna,"""Pain that pierces the mind is worse than pain that stops the heart."""
9090,dv_griffin,False,3e1078,4.0,1.01,Griffin,"""What do you think it means to be the most intelligent being in the universe?"""
9093,dv_typhon,False,6e1167,4.0,1.01,Typhon,"""Kneel before greatness."""
9096,dv_medusa,False,9e1308,4.0,1.01,Medusa,"""The moment you meet her eyes, you'll turn to Brick. It's not a metaphor."""
9097,dv_valkyrie,False,4e1473,4.0,1.01,Valkyrie,"""When justice wavers, the messenger of God shall descend."""
9098,dv_anubis,False,6e1624,4.0,1.01,Anubis,"""The eternal flow of sand resembles the shape of the universe."""
9100,dv_load_of_ruin,False,1.5e1990,4.0,1.01,Lord of Ruin,"""Face Ruin."""
