Icon,Name,Power (Damage),Cooldown,Price,Enhance Cost,Soul Dmg Upgrade,Soul Upgrade Cost,Id,Key,Sort,IsDefault,UnlockIndex,UnlockWeapons,UnlockWeaponKeys,UnlockWeaponEnhance,EnhanceCostUp,SoulUpgradeCostUp,SoulDmgEnhanceCost,SoulCostEnhanceCost,SoulEnhanceCostUp,EpicUpgradeCost,RagrangeBattleBonus,NoSpeed,NoDuration,NoSize,UseSkill,BasicData,InfoData,Description
assets/weapons/icons/ui_we_wheel_saw.png,Buzz Saw Blade,131K,13.0,100B,50B,114B,45.5B,5010,we_wheel_saw,13,False,8,,,0,1.125,1.2,45.5T,34.2T,10K,90,1.477,"True, True","False, False","False, False",True,,i/a/at/t/w,"""Have you heard of a saw blade that became self-aware?"""
assets/weapons/icons/ui_we_blaze_flask.png,Inferno Flask,394K,12.0,5T,2.5T,80T,32T,5011,we_blaze_flask,14,False,9,,,0,1.125,1.2,32aa,24aa,10K,95,1.551,"True, True","False, False","False, False",True,,i/#c/a/at/t,"""Let's see. Where is this mad scientist?"""
assets/weapons/icons/ui_we_elephant_foot.png,Elephant Foot,1.18M,11.5,200T,100T,20.6aa,8.22aa,5012,we_elephant_foot,15,False,10,,,0,1.125,1.2,8.22ab,6.17ab,10K,100,1.598,"True, True","True, False","True, True",True,,"i/a, $i/$n:bt_elephant_foot_fire/$a/$at/$t","""The true king among the animals. And on your side."""
assets/weapons/icons/ui_we_billiard_ball.png,Billiard Ball,3.54M,15.0,8aa,4aa,5ab,2ab,5013,we_billiard_ball,16,False,11,,,0,1.125,1.2,2ac,1.5ac,10K,105,1.678,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""It's round and hard. No, it's not a bowling ball."""
assets/weapons/icons/ui_we_fidget_spinner.png,Fidget Spinner,10.6M,12.5,200aa,100aa,3.26ac,1.3ac,5014,we_fidget_spinner,17,False,12,,,0,1.125,1.2,1.3ad,977ac,10K,110,1.728,"True, True","True, True","False, False",True,,"!i/!a/!at, $i/$n:bt_fidget_spinner_big/$a/$at, $i/$n:bt_fidget_spinner_r/$c/$a/$at","""It's possible if you're fast enough."""
assets/weapons/icons/ui_we_moon_flint.png,Moon Flint,31.9M,14.5,5ab,2.5ab,1.5ad,600ac,5015,we_moon_flint,18,False,13,,,0,1.125,1.2,600ad,450ad,10K,115,1.814,"False, False","False, False","False, False",True,,"i/a/#t/w, i/n:bt_moon_flint_spark/#c/a","""Look! What a cool rock!"""
assets/weapons/icons/ui_we_bunker_buster.png,Bunker Buster,95.7M,13.5,375ab,188ab,553ad,221ad,5016,we_bunker_buster,19,False,14,,,0,1.125,1.2,221ae,166ae,10K,120,1.869,"False, False","False, False","False, False",True,,"i/c/a/t/w, i/n:bt_bunker_buster_boom/a/#p","""An investigation is needed to determine whether this weapon complies with international law."""
assets/weapons/icons/ui_we_trump_card.png,Trump Card,287M,16.0,40ac,20ac,210ae,84ae,5017,we_trump_card,20,False,15,,,0,1.125,1.2,84af,63af,10K,125,1.962,"False, False","False, False","False, False",True,,i/#c/a/#t/w,"""A magician that can cut through steel."""
assets/weapons/icons/ui_we_golden_scissors.png,Golden Scissors,861M,9.5,8ad,4ad,94.9af,37.9af,5018,we_golden_scissors,21,False,16,,,0,1.125,1.2,37.9ag,28.5ag,10K,130,2.021,"True, True","True, True","False, False",True,,i/c/a/#at:bt_golden_scissors_tick,"""Actually, gold isn't appropriate, but it looks cool, doesn't it?"""
assets/weapons/icons/ui_we_chandelier.png,Chandelier,2.58B,14.0,2.5ae,1.25ae,13.2ag,5.26ag,5019,we_chandelier,22,False,17,,,0,1.125,1.2,5.26ah,3.95ah,10K,135,2.122,"True, True","True, True","False, False",True,,"i/a, i/n:bt_chandelier_frag/#c/a","""I always thought seeing it fall would be quite the sight."""
assets/weapons/icons/ui_we_monomol_cutter.png,Monomolecular Blade,7.75B,8.5,1af,500ae,11.7ah,4.68ah,5020,we_monomol_cutter,23,False,18,,,0,1.125,1.2,4.68ai,3.51ai,10K,140,2.186,"True, True","True, True","False, False",True,,i/#c/a,"""Remember to put the cover back on after using it."""
assets/weapons/icons/ui_we_magic_wand.png,Magic Wand,23.2B,15.5,300af,150af,75ai,30ai,5021,we_magic_wand,24,False,19,,,0,1.125,1.2,30aj,22.5aj,10K,145,2.252,"True, True","True, True","True, True",True,,i/#c:bt_magic_wand_set/a,"""Can't you shoot it properly for once?"""
assets/weapons/icons/ui_we_holy_sword.png,Holy Sword,69.7B,17.5,150ag,75ag,2.03an,813am,5022,we_holy_sword,25,False,20,,,0,1.125,1.2,813an,609an,10K,150,2.297,"True, True","False, False","False, False",True,,"i/c/a/at/t, $i/$n:bt_holy_sword_fire/$a/$at/$t","""In the name of justice!"""
assets/weapons/icons/ui_we_snowflake.png,Snowflake Bomb,209B,11.0,60ah,30ah,257ao,103ao,5023,we_snowflake,26,False,21,,,0,1.125,1.2,103ap,77.2ap,10K,150,2.343,"True, True","True, True","False, False",True,,"i/#c/a, i/n:bt_snowflake_thorn/c/a","""Careful, that's not a child's toy."""
assets/weapons/icons/ui_we_prism.png,P.R.I.S.M.,628B,15.0,20ai,10ai,235aq,93.9aq,5024,we_prism,27,False,22,,,0,1.125,1.2,93.9ar,70.4ar,10K,150,2.389,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""Symmetry and reflections. How beautiful."""
assets/weapons/icons/ui_we_mirrorball.png,Mirrorball,1.88T,16.0,30aj,15aj,143as,57.1as,5025,we_mirrorball,28,False,23,,,0,1.125,1.2,57.1at,42.8at,10K,150,2.437,"True, True","True, True","True, True",True,,i/#a,"""A weapon that blinds you, even when you're not looking at it."""
assets/weapons/icons/ui_we_chain_lighting.png,Chain Lightning,5.65T,13.5,80ak,40ak,40.7au,16.3au,5026,we_chain_lighting,29,False,24,,,0,1.125,1.2,16.3av,12.2av,10K,150,2.486,"True, True","True, True","True, True",True,,i/#c:bt_chain_lighting_chain/a,"""Wearing protective gloves won't help you."""
assets/weapons/icons/ui_we_tornado.png,Tornado,16.9T,17.0,250al,125al,13.4aw,5.38aw,5027,we_tornado,30,False,25,,,0,1.125,1.2,5.38ax,4.03ax,10K,150,2.536,"True, True","True, True","False, False",True,,i/#a/at,"""You want to fly? Then get in there."""
assets/weapons/icons/ui_we_volcano.png,Volcano,50.8T,22.0,400am,200am,4.71ay,1.88ay,5028,we_volcano,31,False,26,,,0,1.125,1.2,1.88az,1.41az,10K,150,2.586,"True, True","False, False","False, False",True,,i/#c/a/at/t,"""Now this is a natural disaster."""
assets/weapons/icons/ui_we_nano_machine.png,Nanomachine,153T,14.0,650an,325an,7.32aa,2.93aa,5029,we_nano_machine,32,False,27,,,0,1.125,1.2,2.93ab,2.2ab,10K,150,2.638,"True, True","True, True","True, True",True,,i/a/#c,"""You'll need a very powerful microscope."""
assets/weapons/icons/ui_we_ufo.png,UFO,458T,15.5,3ap,1.5ap,17.1ac,6.84ac,5030,we_ufo,33,False,28,,,0,1.125,1.2,6.84ad,5.13ad,10K,150,2.691,"True, True","False, False","False, False",True,,i/at/a/t,"""We've made a deal of sorts."""
assets/weapons/icons/ui_we_meteor_shower.png,Meteor Shower,1.37aa,20.0,22.5aq,11.3aq,2.04af,817ae,5031,we_meteor_shower,34,False,29,,,0,1.125,1.2,817af,613af,10K,150,2.745,"True, True","True, True","True, True",True,,i/a/#c,"""Let's stop taking pictures and get back to work."""
assets/weapons/icons/ui_we_nova.png,Nova Explosion,4.12aa,24.0,150ar,75ar,23.8ai,9.53ai,5032,we_nova,35,False,30,,,0,1.125,1.2,9.53aj,7.15aj,10K,150,2.772,"True, True","True, True","False, False",True,,"i/#a, i/n:bt_nova_sub/#c/a/t/w","""The death of a star is splendid."""
assets/weapons/icons/ui_we_laser.png,Laser Cutter,12.4aa,16.0,600as,300as,556ak,222ak,5033,we_laser,36,False,31,,,0,1.125,1.2,222al,167al,10K,150,2.8,"True, True","True, True","False, False",True,,i/#c/#a,"""Don't worry, we just boosted the output a little bit."""
assets/weapons/icons/ui_we_thunder_hammer.png,Thunder Hammer,37.1aa,18.0,3au,1.5au,2.59an,1.04an,5034,we_thunder_hammer,37,False,32,,,0,1.125,1.2,1.04ao,778an,10K,150,2.828,"True, True","False, False","True, True",True,,"i/a/t/w, i/n:bt_thunder_hammer_light/#c/a/#p","""Even if you find it, you won't be able to lift it."""
assets/weapons/icons/ui_we_blackhole.png,Black Hole,111aa,13.0,15av,7.5av,96.9ap,38.8ap,5035,we_blackhole,38,False,33,,,0,1.125,1.2,38.8aq,29.1aq,10K,150,2.856,"True, True","False, False","False, False",True,,i/#a/at:bt_blackhole_tick/#t,"""If you're lucky, you might come out somewhere."""
assets/weapons/icons/ui_we_portal.png,Portal,334aa,25.0,100aw,50aw,5.65as,2.26as,5036,we_portal,39,False,34,,,0,1.125,1.2,2.26at,1.7at,10K,150,2.885,"True, True","False, False","False, False",True,,i/#c/a/p/t,"""Sometimes I imagine dumping the clutter in my room somewhere else."""
assets/weapons/icons/ui_we_sphere.png,Brawl,1ab,15.0,1.5ay,750ax,1.85av,739au,5037,we_sphere,40,False,35,,,0,1.125,1.2,739av,554av,10K,150,2.913,"True, True","True, True","False, False",True,,i/a:bt_sphere_sub_atk/#p,"""It's the ultimate spectacle."""
assets/weapons/icons/ui_we_starlight_trip.png,Starlight Journey,3ab,28.0,12az,6az,11ay,4.4ay,5038,we_starlight_trip,41,False,36,,,0,1.125,1.2,4.4az,3.3az,10K,150,2.943,"False, False","False, False","False, False",True,,i/#c/a/#t/w,"""Look at that searing beauty."""
assets/weapons/icons/ui_we_piranha.png,Piranha,9.01ab,27.0,75aa,37.5aa,1.02bc,407bb,5039,we_piranha,42,False,37,,,0,1.125,1.2,407bc,305bc,10K,150,2.972,"True, True","True, True","False, False",True,,i/#c/a/#b,"""Sometimes you need a helping hand."""
assets/weapons/icons/ui_we_umbrella.png,Umbrella,27ab,30.0,2.25ac,1.13ac,22.6bg,9.03bg,5040,we_umbrella,43,False,38,,,0,1.125,1.2,9.03bh,6.77bh,10K,150,3.002,"False, False","False, False","True, True",True,,i/#c/a:bt_umbrella_sub_atk/p/t/w,"""We've tweaked our active defense system."""
assets/weapons/icons/ui_we_bigbang.png,Big Bang,81.1ab,24.0,300ad,150ad,816bj,326bj,5041,we_bigbang,44,False,39,,,0,1.125,1.2,326bk,245bk,10K,150,3.032,"True, True","True, True","False, False",True,,i/#c:bt_bigbang_fire/a,"""In the beginning, there was an explosion."""
assets/weapons/icons/ui_we_present.png,Present Strike,243ab,22.0,80af,40af,1.09bp,438bo,5042,we_present,45,False,40,,,0,1.125,1.2,438bp,328bp,10K,150,3.062,"True, True","True, True","True, True",True,,i/#c/a,"""I'll shower you with gifts."""
assets/weapons/icons/ui_we_egg.png,Multidimensional Egg,729ab,18.0,62.5ah,31.3ah,3.56bs,1.42bs,5043,we_egg,46,False,41,,,0,1.125,1.2,1.42bt,1.07bt,10K,150,3.093,"True, True","True, True","False, False",True,,i/#c/a,"""An egg with an unstable dimension is itself a weapon of universal proportions."""
assets/weapons/icons/ui_we_gas_barrel.png,Burning Gas Barrel,2.19ac,26.0,80al,40al,1.15bz,459by,5044,we_gas_barrel,47,False,42,,,0,1.125,1.2,459bz,344bz,10K,150,3.124,"False, False","False, False","False, False",True,,"i/#c/a/w, i/n:bt_gas_barrel_boom/a","""That's exactly why safety protocols are important."""
assets/weapons/icons/ui_we_god_finger.png,God Finger,6.57ac,32.0,4ar,2ar,118cf,47.1cf,5045,we_god_finger,48,False,43,,,0,1.125,1.2,47.1cg,35.3cg,10K,150,3.155,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""Let there be light."""
assets/weapons/icons/ui_we_thor_hammer.png,Thor's Hammer,19.7ac,30.0,100aw,50aw,37.6cm,15cm,5046,we_thor_hammer,49,False,44,,,0,1.125,1.2,15cn,11.3cn,10K,150,3.186,"True, True","True, True","True, True",True,,"i/#a, i/n:bt_thor_hammer_light/#c/a","""Good heavens, now they're falling from the sky."""
assets/weapons/icons/ui_we_atom.png,Atomic Molecule,39.4ac,18.0,20bb,10bb,12cu,3.33cu,5047,we_atom,50,False,45,,,0,1.125,1.205,4cv,3cv,10K,150,3.218,"True, True","True, True","True, True",True,,i/#c/a,"""What a fun science lesson."""
assets/weapons/icons/ui_we_ascension_light.png,Light of Ascension,78.8ac,22.0,50bf,25bf,4db,1.33db,5048,we_ascension_light,51,False,46,,,0,1.1325,1.25,1.6dc,1.2dc,12.5K,150,3.25,"True, True","True, True","True, True",True,,i/#c/#a,"""Whether for better or worse, it's truly a weapon that makes you 'ascend.'"""
assets/weapons/icons/ui_we_top_toy.png,Spinning Top,158ac,32.0,80bj,40bj,25dk,10dk,5049,we_top_toy,52,False,47,,,0,1.14,1.275,12dl,9dl,15K,150,3.283,"False, False","False, False","False, False",True,,i/#c/#a/t/w,"""If you're fast enough, it's possible."""
assets/weapons/icons/ui_we_purify_flame.png,Purifying Flame,315ac,23.0,40bo,20bo,750dt,267dt,5050,we_purify_flame,53,False,48,,,0,1.1475,1.3,320du,240du,17.5K,150,3.316,"True, True","True, True","False, False",True,,i/#c/a,"""Clean down to the soul."""
assets/weapons/icons/ui_we_star_buster.png,Starbuster,630ac,19.0,7.5bt,3.75bt,800eb,267eb,5051,we_star_buster,54,False,49,,,0,1.155,1.325,320ec,240ec,20K,150,3.349,"False, False","False, False","False, False",True,,"i/c/a/t/w, i/n:bt_star_buster_boom/a/#p","""It's like watching a star explode."""
assets/weapons/icons/ui_we_prism_ex.png,P.R.I.S.M. -EX-,1.26ad,30.0,25bz,12.5bz,550ej,200ej,5052,we_prism_ex,55,False,50,,,0,1.1625,1.35,240ek,180ek,22.5K,150,3.382,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""How would you like it cut?"""
assets/weapons/icons/ui_we_q_machine.png,Quantum Machine,2.52ad,20.0,15ce,7.5ce,10eu,3.33eu,5053,we_q_machine,56,False,51,,,0,1.17,1.375,4ev,3ev,25K,150,3.416,"True, True","True, True","True, True",True,,i/a/#c,"""Ever heard the expression 'quantum perfection'?"""
assets/weapons/icons/ui_we_gym_ball.png,Exercise Ball,5.04ad,28.0,750cj,375cj,1ff,333fe,5054,we_gym_ball,57,False,52,,,0,1.1775,1.4,400ff,300ff,27.5K,150,3.45,"True, True","True, True","False, False",True,,i/#c/a/b,"""Excuse me, that's not how you use the exercise ball!"""
assets/weapons/icons/ui_we_holy_shield.png,Divine Shield,10.1ad,24.0,2.5cq,1.25cq,7ft,2.33ft,5055,we_holy_shield,58,False,53,,,0,1.185,1.425,2.8fu,2.1fu,30K,150,3.485,"True, True","True, True","False, False",True,,"i/#c/a, i/n:bt_holy_shield_sub/c/a/t/w","""Who knew shield bashing was actually a real technique."""
assets/weapons/icons/ui_we_ares.png,Sword of Ares,20.2ad,21.0,800cu,400cu,45gg,16.7gg,5056,we_ares,59,False,54,,,0,1.1925,1.45,20gh,15gh,32.5K,150,3.52,"True, True","True, True","False, False",True,,i/#c:bt_ares_repeat/a,"""I came to end this war."""
assets/weapons/icons/ui_we_hell_chain.png,Infernal Chain,40.3ad,26.0,6db,3db,30gs,10gs,5057,we_hell_chain,60,False,55,,,0,1.2,1.475,12gt,9gt,35K,150,3.555,"True, True","True, True","False, False",True,,i/#c/#a,"""Even your soul shall be bound."""
assets/weapons/icons/ui_we_zeus.png,Zeus' Trident,80.7ad,25.0,30dh,15dh,50hg,16.7hg,5058,we_zeus,61,False,56,,,0,1.2075,1.5,20hh,15hh,37.5K,150,3.591,"True, True","True, True","True, True",True,,"i/#c/a, i/n:bt_zeus_thunder/c/a/p","""You'll be lightning-charred in an instant."""
assets/weapons/icons/ui_we_god_punch.png,God Punch,161ad,24.0,500dp,250dp,600hx,240hx,5059,we_god_punch,62,False,57,,,0,1.215,1.505,240hy,180hy,40K,150,3.626,"True, True","True, True","True, True",True,,i/#c/a,"""Have you committed an unforgivable sin?"""
assets/weapons/icons/ui_we_soul_shuriken.png,Soul Ninja Stars,323ad,36.0,10dw,5dw,150ij,60ij,5060,we_soul_shuriken,63,False,58,,,0,1.22,1.51,60ik,45ik,45K,150,3.663,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""Even the soul shall be split."""
assets/weapons/icons/ui_we_uranium.png,Uranium Flask,645ad,32.0,250ed,125ed,400iv,160iv,5061,we_uranium,64,False,59,,,0,1.23,1.515,160iw,120iw,50K,150,3.699,"True, True","False, False","False, False",True,,i/#c/a/at/t,"""A terrifying weapon that melts everything from the inside out."""
assets/weapons/icons/ui_we_odin.png,Odin's Judgment,1.29ae,26.0,8en,4en,250jp,100jp,5062,we_odin,65,False,60,,,0,1.2225,1.52,100jq,75jq,55K,150,3.736,"True, True","True, True","True, True",True,,i/#c/a,"""Not simply lightning, but divine punishment."""
assets/weapons/icons/ui_we_diamond_scissors.png,Diamond Scissors,2.58ae,20.0,600et,300et,500kb,200kb,5063,we_diamond_scissors,66,False,61,,,0,1.225,1.525,200kc,150kc,60K,150,3.774,"True, True","True, True","False, False",True,,i/#c/a/at:bt_diamond_scissors_tick,"""They aren't just slightly harder than before."""
assets/weapons/icons/ui_we_cherry_banana.png,Cherry & Banana,5.16ae,25.0,3.5fb,1.75fb,250kn,100kn,5064,we_cherry_banana,67,False,62,,,0,1.2275,1.53,100ko,75ko,65K,150,3.811,"True, True","True, True","False, False",True,,"i/n:bt_cherry/c/a, i/n:bt_banana/c/a, i/n:bt_cherry_sub/c/a, i/n:bt_banana_sub/c/a","""Sweet juice that goes pop pop!"""
assets/weapons/icons/ui_we_osiris.png,Eye of Osiris,10.3ae,19.0,75fi,37.5fi,7.5lf,3lf,5065,we_osiris,68,False,63,,,0,1.23,1.535,3lg,2.25lg,70K,150,3.85,"True, True","True, True","True, True",True,,i/#c/a,"""It can see and destroy all."""
assets/weapons/icons/ui_we_sun.png,Sun of Ra,20.7ae,27.0,2fp,1fp,35lr,14lr,5066,we_sun,69,False,64,,,0,1.2325,1.54,14ls,10.5ls,75K,150,3.888,"True, True","True, True","False, False",True,,i/#c/a,"""Have you ever imagined the sun right in front of your eyes?"""
assets/weapons/icons/ui_we_rat.png,Radioactive Rat,41.3ae,30.0,350fv,175fv,1me,400md,5067,we_rat,70,False,65,,,0,1.235,1.545,400me,300me,80K,150,3.927,"True, True","True, True","False, False",True,,i/#c/a,"""Be careful with rats. You never know what germs they may carry."""
assets/weapons/icons/ui_we_tsunami.png,Tsunami,82.6ae,33.0,900gd,450gd,300mw,120mw,5068,we_tsunami,71,False,66,,,0,1.2375,1.55,120mx,90mx,85K,150,3.966,"True, True","True, True","False, False",True,,i/#c/a,"""A disaster beyond human comprehension."""
assets/weapons/icons/ui_we_gale.png,Storm Blade,165ae,30.0,150gk,75gk,80nn,32nn,5069,we_gale,72,False,67,,,0,1.24,1.555,32no,24no,90K,150,4.006,"True, True","True, True","False, False",True,,i/#c/#a,"""Wind moving fast enough can become a blade."""
assets/weapons/icons/ui_we_light_orb.png,Orb of Light,330ae,42.0,400gr,200gr,60nx,24nx,5070,we_light_orb,73,False,68,,,0,1.2425,1.56,24ny,18ny,95K,150,4.046,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""I shall destroy all with the power of light."""
assets/weapons/icons/ui_we_chicken.png,Crispy Chicken,661ae,40.0,800hc,400hc,25ox,10ox,5071,we_chicken,74,False,69,,,0,1.245,1.565,10oy,7.5oy,100K,150,4.086,"True, True","True, True","False, False",True,,i/#c/a/#b,"""Everything tastes good when fried. Even a Brick."""
assets/weapons/icons/ui_we_chaos_orb.png,Chaos Staff,1.32af,36.0,20hl,10hl,9pp,3.6pp,5072,we_chaos_orb,75,False,70,,,0,1.2475,1.57,3.6pq,2.7pq,102.5K,150,4.127,"True, True","True, True","True, True",True,,i/#c:bt_chaos_orb_set/a,"""I wonder about the mental state of whoever made this weapon."""
assets/weapons/icons/ui_we_party_missile.png,Party Missile,2.64af,32.0,750hu,375hu,10qh,4qh,5073,we_party_missile,76,False,71,,,0,1.25,1.575,4qi,3qi,105K,150,4.169,"True, True","True, True","False, False",True,,i/#c/a,"""I just came to congratulate you."""
assets/weapons/icons/ui_we_mirror.png,Dimension Mirror,5.29af,48.0,250im,125im,4rs,16rs,5074,we_mirror,77,False,72,,,0,1.2525,1.58,16rt,12rt,107.5K,150,4.21,"False, False","True, True","False, False",True,,i/#c/a/t/w,"""Can you find the truth among the countless mirrors?"""
assets/weapons/icons/ui_we_coffee.png,Hot Coffee Cup,10.6af,42.0,1jc,500jb,2.5sr,10sr,5075,we_coffee,78,False,73,,,0,1.255,1.585,10ss,7.5ss,110K,150,4.252,"True, True","True, True","False, False",True,,i/#c/a/at/t,"""A nightmarish day for the staff."""
assets/weapons/icons/ui_we_extinction.png,Light of Annihilation,21.1af,38.0,5js,2.5js,60tq,240tq,5076,we_extinction,79,False,74,,,0,1.2575,1.59,240tr,180tr,112.5K,150,4.295,"True, True","True, True","True, True",True,,i/#c/a,"""True annihilation is being erased from memory."""
assets/weapons/icons/ui_we_singular_point.png,Singular Point,42.3af,35.0,200ks,100ks,300vt,120vt,5077,we_singular_point,80,False,75,,,0,1.26,1.595,120vu,90vu,115K,150,4.338,"True, True","True, True","False, False",True,,i/#c/#a,"""Even light loses its way there."""
assets/weapons/icons/ui_we_pencil.png,Colored Pencil,84.6af,52.0,4lj,2lj,9xb,2.6xb,5078,we_pencil,81,False,76,,,0,1.2625,1.6,2.6xc,1.95xc,117.5K,150,4.381,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""A tool that draws the world can also become a tool that erases it."""
assets/weapons/icons/ui_we_dimension_box.png,Dimensional Box,169af,55.0,10lz,5lz,15yi,5yi,5079,we_dimension_box,82,False,77,,,0,1.265,1.605,5yj,3.75yj,120K,150,4.425,"False, False","False, False","False, False",True,,"i/c/a/t/w, i/c:bt_dimension_box_split/a:bt_dimension_box_atk/t:bt_dimension_box_time, $i/$c:bt_dimension_box_split_l/$a:bt_dimension_box_atk/$t:bt_dimension_box_time","""Have you ever wondered where the missing bricks go?"""
