Key,Value
bt_moon_flint_spd_l,1125
bt_moon_flint_spark_cnt,3
bt_moon_flint_spark_cnt_l,5
bt_moon_flint_spark_atk,7.072691552
bt_moon_flint_spark_time,0.6
bt_moon_flint_spark_rng,75
bt_bunker_buster_cnt,2
bt_bunker_buster_atk,7.405883563
bt_bunker_buster_time,2.2
bt_bunker_buster_rng,55
bt_bunker_buster_boom_period,0.8
bt_bunker_buster_boom_period_l,0.25
bt_bunker_buster_boom_atk,24.68627854
bt_bunker_buster_boom_rng,500/100
bt_trump_card_cnt,8
bt_trump_card_cnt_l,12
bt_trump_card_atk,5.696653216
bt_trump_card_time,2
bt_trump_card_time_l,4
bt_trump_card_rng,125
bt_golden_scissors_cnt,3
bt_golden_scissors_atk,7.030700727
bt_golden_scissors_rng,200
bt_golden_scissors_tick,0.5
bt_golden_scissors_tick_l,0.2
bt_chandelier_atk,58.44155844
bt_chandelier_rng,425
bt_chandelier_rng_l,600
bt_chandelier_frag_cnt,12
bt_chandelier_frag_cnt_l,18
bt_chandelier_frag_atk,19.48051948
bt_chandelier_frag_spd_min,200
bt_chandelier_frag_spd_max,1000
bt_chandelier_frag_time_min,0.2
bt_chandelier_frag_time_max,0.6
bt_monomol_cutter_cnt,1
bt_monomol_cutter_cnt_l,3
bt_monomol_cutter_atk,74.39824945
bt_monomol_cutter_rng,100
bt_holy_sword_cnt,2
bt_holy_sword_atk,17.69464105
bt_holy_sword_rng,300
bt_holy_sword_time,3
bt_holy_sword_fire_atk,17.57616337
bt_holy_sword_fire_rng,120
bt_holy_sword_fire_time,1.5
bt_magic_wand_cnt,2
bt_magic_wand_cnt_l,3
bt_magic_wand_set,1
bt_magic_wand_set_l,2
bt_magic_wand_atk,13.81051381
bt_magic_wand_rng,75
bt_snowflake_cnt,1
bt_snowflake_cnt_l,3
bt_snowflake_atk,44.32624113
bt_snowflake_rng,300
bt_snowflake_thorn_cnt,6
bt_snowflake_thorn_atk,18.79895561
bt_snowflake_thorn_time,10
bt_snowflake_thorn_rng,60
bt_prism_cnt,4
bt_prism_cnt_l,8
bt_prism_atk,6.623686302
bt_prism_rng,50
bt_prism_time,3
bt_mirrorball_atk,38.46153846
bt_mirrorball_atk_l,63.02521008
bt_mirrorball_rng,125
bt_chain_lighting_chain,20
bt_chain_lighting_chain_l,50
bt_chain_lighting_atk,60
bt_chain_lighting_d,300
bt_chain_lighting_d_l,600
bt_tornado_atk,14.24501425
bt_tornado_atk_l,19.23076923
bt_tornado_spd,250
bt_tornado_spd_l,175
bt_tornado_rng,375
bt_tornado_rng_l,550
bt_volcano_cnt,8
bt_volcano_cnt_l,16
bt_volcano_atk,4.807692308
bt_volcano_rng,200
bt_volcano_time,5
bt_nano_machine_cnt,2
bt_nano_machine_cnt_l,4
bt_nano_machine_atk,16.87763713
bt_ufo_atk,332.8804348
bt_ufo_time,5
bt_ufo_rng,200
bt_ufo_rng_l,350
bt_meteor_shower_cnt,10
bt_meteor_shower_cnt_l,20
bt_meteor_shower_atk,17.92114695
bt_meteor_shower_rng,200
bt_nova_atk,10.37344398
bt_nova_atk_l,11.67012448
bt_nova_rng,300
bt_nova_rng_l,400
bt_nova_sub_cnt,12
bt_nova_sub_cnt_l,18
bt_nova_sub_atk,5.186721992
bt_nova_sub_rng,50
bt_nova_sub_time,2.5
bt_laser_cnt,20
bt_laser_cnt_l,30
bt_laser_atk,7.950298211
bt_laser_atk_l,15.90059642
bt_laser_rng,75
bt_thunder_hammer_atk,6.613756614
bt_thunder_hammer_time,8
bt_thunder_hammer_rng,225
bt_thunder_hammer_rng_l,300
bt_thunder_hammer_light_period,2
bt_thunder_hammer_light_period_l,1
bt_thunder_hammer_light_cnt,5
bt_thunder_hammer_light_cnt_l,7
bt_thunder_hammer_light_d,9
bt_thunder_hammer_light_atk,10.58201058
bt_blackhole_atk,3.735632184
bt_blackhole_atk_l,4.781609195
bt_blackhole_rng,400
bt_blackhole_rng_l,500
bt_blackhole_time,6
bt_blackhole_time_l,6
bt_blackhole_tick,0.2
bt_portal_cnt,2
bt_portal_cnt_l,5
bt_portal_atk,4.605747973
bt_portal_rng,125
bt_portal_period,0.8
bt_portal_time,4
bt_sphere_sub_atk,6.37755102
bt_sphere_sub_rng,150
bt_sphere_period,0.25
bt_sphere_period_l,0.1
bt_starlight_trip_cnt,5
bt_starlight_trip_cnt_l,9
bt_starlight_trip_atk,8.802816901
bt_starlight_trip_rng,50
bt_starlight_trip_time,3
bt_starlight_trip_time_l,5
bt_piranha_cnt,3
bt_piranha_cnt_l,6
bt_piranha_atk,25.17482517
bt_piranha_rng,125
bt_piranha_b,8
bt_piranha_b_l,12
bt_umbrella_cnt,1
bt_umbrella_cnt_l,2
bt_umbrella_period,0.33
bt_umbrella_time,6
bt_umbrella_sub_atk,4.652605459
bt_umbrella_sub_rng,75
bt_bigbang_fire,3
bt_bigbang_fire_l,6
bt_bigbang_cnt,15
bt_bigbang_atk,6.512890095
bt_bigbang_rng,50
bt_present_cnt,8
bt_present_cnt_l,16
bt_present_atk,28.00179211
bt_present_rng,300
bt_egg_cnt,8
bt_egg_cnt_l,16
bt_egg_atk,5.277044855
bt_egg_rng,125
bt_egg_rotation,180
bt_egg_rotation_l,180
bt_egg_distance,2.25
bt_egg_distance_l,3.5
bt_gas_barrel_cnt,2
bt_gas_barrel_cnt_l,4
bt_gas_barrel_atk,25.3164557
bt_gas_barrel_rng,100
bt_gas_barrel_time,3
bt_gas_barrel_boom_atk,10
bt_gas_barrel_boom_rng,350
bt_god_finger_cnt,6
bt_god_finger_cnt_l,12
bt_god_finger_atk,16.12903226
bt_god_finger_rng,50
bt_god_finger_time,2
bt_thor_hammer_atk,79.36507937
bt_thor_hammer_atk_l,79.36507937
bt_thor_hammer_rng,250
bt_thor_hammer_rng_l,325
bt_thor_hammer_light_cnt,3
bt_thor_hammer_light_cnt_l,6
bt_thor_hammer_light_atk,7.936507937
bt_thor_hammer_light_chain,24
bt_thor_hammer_light_d,400
bt_atom_cnt,1
bt_atom_cnt_l,2
bt_atom_atk,6.067961165
bt_atom_center_rng,150
bt_atom_rng,100
bt_atom_rotation,540
bt_ascension_light_cnt,12
bt_ascension_light_cnt_l,18
bt_ascension_light_atk,14.70588235
bt_ascension_light_atk_l,29.41176471
bt_ascension_light_rng,80
bt_top_toy_cnt,3
bt_top_toy_cnt_l,3
bt_top_toy_atk,13.8121547
bt_top_toy_atk_l,30.44311647
bt_top_toy_rng,150
bt_top_toy_rng_l,175
bt_top_toy_time,4
bt_purify_flame_cnt,4
bt_purify_flame_cnt_l,8
bt_purify_flame_atk,17.42160279
bt_purify_flame_rng,400
bt_star_buster_cnt,4
bt_star_buster_atk,4.285812247
bt_star_buster_time,2.2
bt_star_buster_rng,55
bt_star_buster_boom_period,0.8
bt_star_buster_boom_period_l,0.25
bt_star_buster_boom_atk,12.34313927
bt_star_buster_boom_rng,500/100
bt_prism_ex_cnt,4
bt_prism_ex_cnt_l,8
bt_prism_ex_atk,13.40827187
bt_prism_ex_rng,50
bt_prism_ex_time,3
bt_q_machine_cnt,2
bt_q_machine_cnt_l,4
bt_q_machine_atk,24.53144932
bt_gym_ball_cnt,2
bt_gym_ball_cnt_l,4
bt_gym_ball_atk,21.18644068
bt_gym_ball_rng,300
bt_gym_ball_b,5
bt_gym_ball_b_l,7
bt_holy_shield_cnt,1
bt_holy_shield_cnt_l,2
bt_holy_shield_atk,90.25270758
bt_holy_shield_rng,325
bt_holy_shield_sub_cnt,5
bt_holy_shield_sub_atk,9.025270758
bt_holy_shield_sub_rng,100
bt_holy_shield_sub_time,3
bt_ares_cnt,5
bt_ares_cnt_l,5
bt_ares_repeat,2
bt_ares_repeat_l,4
bt_ares_atk,8.561643836
bt_ares_rng,225
bt_hell_chain_cnt,22
bt_hell_chain_cnt_l,33
bt_hell_chain_atk,7.02247191
bt_hell_chain_atk_l,14.04494382
bt_hell_chain_rng,125
bt_zeus_cnt,1
bt_zeus_cnt_l,3
bt_zeus_atk,12.56281407
bt_zeus_rng,225
bt_zeus_thunder_period,0.07
bt_zeus_thunder_cnt,2
bt_zeus_thunder_d,7
bt_zeus_thunder_atk,12.56281407
bt_god_punch_cnt,4
bt_god_punch_cnt_l,8
bt_god_punch_atk,16.83501684
bt_god_punch_rng,1000
bt_soul_shuriken_cnt,1
bt_soul_shuriken_cnt_l,3
bt_soul_shuriken_atk,18.51851852
bt_soul_shuriken_rng,175
bt_soul_shuriken_time,2.5
bt_uranium_cnt,3
bt_uranium_cnt_l,6
bt_uranium_atk,13.73626374
bt_uranium_time,3.5
bt_uranium_rng,450
bt_odin_cnt,5
bt_odin_cnt_l,10
bt_odin_atk,16.83501684
bt_odin_rng,800
bt_diamond_scissors_cnt,3
bt_diamond_scissors_cnt_l,6
bt_diamond_scissors_atk,20.16129032
bt_diamond_scissors_rng,225
bt_diamond_scissors_tick,0.2
bt_cherry_banana_cnt,2
bt_cherry_cnt,2
bt_banana_cnt,1
bt_cherry_sub_cnt,3
bt_banana_sub_cnt,5
bt_cherry_atk,33.73819163
bt_cherry_rng,200
bt_banana_atk,50.60728745
bt_banana_rng,300
bt_cherry_sub_atk,20.24291498
bt_cherry_sub_rng,150
bt_banana_sub_atk,30.36437247
bt_banana_sub_rng,200
bt_osiris_cnt,1
bt_osiris_cnt_l,2
bt_osiris_atk,43.10344828
bt_osiris_rng,125
bt_sun_cnt,1
bt_sun_cnt_l,2
bt_sun_atk,14.08450704
bt_sun_rng,800
bt_rat_cnt,6
bt_rat_cnt_l,12
bt_rat_atk,28.44141069
bt_rat_rng,250
bt_tsunami_cnt,6
bt_tsunami_cnt_l,12
bt_tsunami_atk,15.10574018
bt_tsunami_rng,500/125
bt_gale_cnt,24
bt_gale_cnt_l,36
bt_gale_atk,17.36111111
bt_gale_atk_l,34.72222222
bt_gale_rng,75
bt_light_orb_cnt,5
bt_light_orb_cnt_l,10
bt_light_orb_atk,15.24390244
bt_light_orb_rng,150
bt_light_orb_time,2.5
bt_chicken_cnt,3
bt_chicken_cnt_l,6
bt_chicken_atk,35.35790053
bt_chicken_rng,125
bt_chicken_b,8
bt_chicken_b_l,12
bt_chaos_orb_cnt,3
bt_chaos_orb_cnt_l,3
bt_chaos_orb_set,6
bt_chaos_orb_set_l,12
bt_chaos_orb_atk,6.335098078
bt_chaos_orb_rng,75
bt_party_missile_cnt,8
bt_party_missile_cnt_l,16
bt_party_missile_atk,67.01245091
bt_party_missile_rng,200
bt_mirror_cnt,3
bt_mirror_cnt_l,3
bt_mirror_atk,34.38018427
bt_mirror_rng,75/200
bt_mirror_time,3
bt_mirror_time_l,6
bt_coffee_cnt,3
bt_coffee_cnt_l,6
bt_coffee_atk,15.63900995
bt_coffee_time,3.5
bt_coffee_rng,525
bt_extinction_cnt,12
bt_extinction_cnt_l,24
bt_extinction_atk,25.57727134
bt_extinction_rng,1200/175
bt_singular_point_cnt,24
bt_singular_point_cnt_l,36
bt_singular_point_atk,20.9675255
bt_singular_point_atk_l,41.93505099
bt_singular_point_rng,75
bt_pencil_cnt,1
bt_pencil_cnt_l,2
bt_pencil_atk,85.52284645
bt_pencil_rng,125
bt_pencil_time,3
bt_dimension_box_cnt,1
bt_dimension_box_split,3
bt_dimension_box_split_l,3
bt_dimension_box_atk,25.38071066
bt_dimension_box_1_rng,300
bt_dimension_box_2_rng,200
bt_dimension_box_3_rng,150
bt_dimension_box_time,2
bt_bowling_ball_atk,35
bt_bowling_ball_time,7
bt_bowling_ball_rng,325
