Id,TargetType,TargetId,Bonus,MaxLevel,Cost,CostUp
1019,SoulAltar,19,25.0,8,2.00E+212,40.0
1020,SoulAltar,20,25.0,8,6.50E+219,40.0
1021,SoulAltar,21,25.0,8,2.00E+227,40.0
1022,SoulAltar,22,25.0,8,3.00E+242,40.0
1023,SoulAltar,23,25.0,8,2.00E+250,40.0
1024,SoulAltar,24,25.0,8,1.50E+258,40.0
1025,SoulAltar,25,25.0,8,2.00E+272,80.0
1026,SoulAltar,26,25.0,8,8.00E+288,80.0
1027,SoulAltar,27,25.0,8,5.00E+305,80.0
1028,SoulAltar,28,25.0,8,1e326,80.0
1029,SoulAltar,29,25.0,8,3e346,160.0
1030,SoulAltar,30,100.0,1,6e366,160.0
1031,SoulAltar,31,25.0,8,4e385,160.0
1032,SoulAltar,32,25.0,8,2.5e410,160.0
1033,SoulAltar,33,25.0,8,6e440,160.0
1034,SoulAltar,34,25.0,8,3.5e468,320.0
1035,SoulAltar,35,25.0,8,2.5e499,320.0
1036,SoulAltar,36,25.0,8,7.5e529,320.0
1037,SoulAltar,37,25.0,8,1e562,320.0
1038,SoulAltar,38,25.0,8,4.5e584,640.0
1039,SoulAltar,39,25.0,8,2e604,640.0
1040,SoulAltar,40,25.0,8,2.5e636,640.0
1041,SoulAltar,41,25.0,8,7.5e650,640.0
1042,SoulAltar,42,25.0,8,5e668,640.0
1043,SoulAltar,43,25.0,8,1e714,1280.0
1044,SoulAltar,44,25.0,8,6e728,1280.0
1045,SoulAltar,45,100.0,1,2e742,1280.0
1046,SoulAltar,46,25.0,8,4e769,1280.0
1047,SoulAltar,47,25.0,8,5e787,2560.0
1048,SoulAltar,48,25.0,8,2.5e808,2560.0
1049,SoulAltar,49,25.0,8,1.5e837,2560.0
1050,SoulAltar,50,25.0,8,3e851,2560.0
1051,SoulAltar,51,25.0,8,5e865,2560.0
1052,SoulAltar,52,25.0,8,3.5e908,5120.0
1053,SoulAltar,53,25.0,8,8e924,5120.0
1054,SoulAltar,54,25.0,8,3e939,5120.0
1055,SoulAltar,55,25.0,8,4e969,5120.0
1056,SoulAltar,56,25.0,8,1e1000,10240.0
1057,SoulAltar,57,25.0,8,7.5e1022,10240.0
1058,SoulAltar,58,25.0,8,4e1047,10240.0
1059,SoulAltar,59,25.0,8,2e1079,10240.0
1060,SoulAltar,60,100.0,1,5e1155,20480.0
