Id,Sort,UnlockRank,ArtifactCount,Artifact1,Grade1,Artifact2,Grade2,Artifact3,Grade3,Artifact4,Grade4,Artifact5,Grade5,TypeList,ValueTypeList,ValueList
22,23,43,5,15002,Legendary,15008,Legendary,15009,Legendary,15001,Epic,15014,Epic,"Gold, Ether","Percent, Percent","500.0, 100.0"
20,24,43,4,15003,Legendary,15004,Legendary,15007,Legendary,15014,Legendary,0,0,"AllWeaponDmg, Power, DStone","Percent, Percent, Percent","400.0, 1000.0, 15.0"
23,25,43,3,15001,Mystic,15009,Legendary,15010,Legendary,0,0,0,0,"Gold, ResearchCostDown, WeaponEnhanceCostDown","Percent, Percent, Percent","2500.0, -90.0, -90.0"
24,26,43,3,15012,Mystic,15014,Legendary,15015,Legendary,0,0,0,0,"DivineBeastHpDown, BattleHp, BattleAtk","Percent, Percent, Percent","-99.0, 999.0, 999.0"
25,27,43,2,15005,Mystic,15014,Mystic,0,0,0,0,0,0,"Power, Ether","Percent, Percent","5000.0, 250.0"
26,28,43,2,15007,Mystic,15009,Mystic,0,0,0,0,0,0,"Gold, ResearchCostDown, SciencePoint","Percent, Percent, Percent","1000.0, -99.0, 1000.0"
27,29,43,4,15004,Mystic,15013,Mystic,15006,Legendary,15012,Legendary,0,0,"AllWeaponDmg, RankPowerDown","Percent, Divide","4000.0, 100.0"
28,30,43,4,15003,Mystic,15011,Mystic,15005,Legendary,15002,Legendary,0,0,"PrestigeBonus, BlockHpDown, DStone","Percent, Divide, Percent","666.0, 66.0, 66.0"
29,31,43,5,15002,Mystic,15014,Mystic,15008,Legendary,15007,Legendary,15013,Legendary,"Power, BattleHp, BattleAtk","Percent, Percent, Percent","1000.0, 1000.0, 1000.0"
30,32,43,3,15006,Mystic,15010,Mystic,15015,Mystic,0,0,0,0,"AllWeaponDmg, WeaponEnhanceCostDown, SoulEnhanceMaxLevelUp","Percent, Divide, Add","5000.0, 100.0, 2.0"
31,33,43,3,15005,Mystic,15008,Mystic,15013,Mystic,0,0,0,0,"SciencePoint, Ether, DStone","Percent, Percent, Percent","999.0, 333.0, 111.0"
33,35,58,2,15001,Mystic,15010,LegendaryPlus2,0,0,0,0,0,0,"Gold, AllWeaponDmg","Percent, Percent","1500.0, 600.0"
34,36,58,2,15005,Mystic,15003,LegendaryPlus2,0,0,0,0,0,0,"Power, BlockHpDown","Percent, Divide","2000.0, 80.0"
35,37,58,2,15004,Mystic,15013,LegendaryPlus2,0,0,0,0,0,0,DStone,Percent,150.0
36,38,58,2,15009,Mystic,15006,LegendaryPlus2,0,0,0,0,0,0,"PrestigeBonus, DestinyEnergy","Percent, Percent","2500.0, 250.0"
37,39,58,2,15005,Mystic,15014,Mystic,0,0,0,0,0,0,"SciencePoint, QuantumPoint","Percent, Percent","300.0, 300.0"
38,40,58,2,15007,Mystic,15015,Mystic,0,0,0,0,0,0,"ScienceRank, QuantumRank","Add, Add","25.0, 25.0"
39,41,58,2,15011,Mystic,15012,Mystic,0,0,0,0,0,0,"AllWeaponDmg, Ash","Percent, Percent","2000.0, 200.0"
40,42,73,3,15006,Mystic,15013,Mystic,15014,Mystic,0,0,0,0,"PrestigeBonus, BattleHp, BattleAtk","Multiply, Multiply, Multiply","50.0, 7.0, 7.0"
41,43,73,3,15010,Mystic,15012,Mystic,15015,Mystic,0,0,0,0,"RankPowerDown, Rune","Divide, Add","100.0, 1.0"
42,44,73,3,15002,Mystic,15005,Mystic,15007,Mystic,0,0,0,0,SEnergy,Percent,50.0
